dataset,sensitive,accuracy_mean,accuracy_std,auc_mean,auc_std,dp_mean,dp_std,eo_mean,eo_std,n_runs,n_dp_valid,n_eo_valid
Heart,age_over_60,0.8311403508771931,0.0408973944562303,0.9016957026713125,0.03270115586977939,0.16590913069889826,0.09276087109995475,0.11311588047556326,0.08598083944409461,30,30,30
Heart,sex,0.8289473684210527,0.03689392259574615,0.8880139372822299,0.03479614748472896,0.2812693822799989,0.12118007768187487,0.1315210174734101,0.13565206873700644,30,30,30
